2.016003*eV   19171.110000*m
2.019287*eV   19049.130000*m
2.022581*eV   18927.150000*m
2.025886*eV   18805.170000*m
2.029201*eV   18683.190000*m
2.032528*eV   18561.210000*m
2.035865*eV   18439.230000*m
2.039214*eV   18317.250000*m
2.042573*eV   18195.270000*m
2.045944*eV   18073.290000*m
2.049326*eV   17954.255000*m
2.052719*eV   17838.165000*m
2.056123*eV   17722.075000*m
2.059538*eV   17605.985000*m
2.062965*eV   17489.895000*m
2.066403*eV   17373.805000*m
2.069853*eV   17257.715000*m
2.073314*eV   17141.625000*m
2.076787*eV   17025.535000*m
2.080272*eV   16909.445000*m
2.083768*eV   16796.205000*m
2.087276*eV   16685.815000*m
2.090796*eV   16575.425000*m
2.094328*eV   16465.035000*m
2.097871*eV   16354.645000*m
2.101427*eV   16244.255000*m
2.104995*eV   16133.865000*m
2.108575*eV   16023.475000*m
2.112167*eV   15913.085000*m
2.115771*eV   15802.695000*m
2.119388*eV   15695.065000*m
2.123017*eV   15590.195000*m
2.126659*eV   15485.325000*m
2.130313*eV   15380.455000*m
2.133979*eV   15275.585000*m
2.137659*eV   15170.715000*m
2.141351*eV   15065.845000*m
2.145055*eV   14960.975000*m
2.148773*eV   14856.105000*m
2.152503*eV   14751.235000*m
2.156247*eV   14649.030000*m
2.160003*eV   14549.490000*m
2.163773*eV   14449.950000*m
2.167556*eV   14350.410000*m
2.171352*eV   14250.870000*m
2.175161*eV   14151.330000*m
2.178984*eV   14051.790000*m
2.182820*eV   13952.250000*m
2.186670*eV   13852.710000*m
2.190534*eV   13753.170000*m
2.194411*eV   13656.200000*m
2.198301*eV   13561.800000*m
2.202206*eV   13467.400000*m
2.206125*eV   13373.000000*m
2.210057*eV   13278.600000*m
2.214004*eV   13184.200000*m
2.217964*eV   13089.800000*m
2.221939*eV   12995.400000*m
2.225928*eV   12901.000000*m
2.229932*eV   12806.600000*m
2.233950*eV   12714.680000*m
2.237982*eV   12625.240000*m
2.242029*eV   12535.800000*m
2.246091*eV   12446.360000*m
2.250167*eV   12356.920000*m
2.254258*eV   12267.480000*m
2.258364*eV   12178.040000*m
2.262485*eV   12088.600000*m
2.266622*eV   11999.160000*m
2.270773*eV   11909.720000*m
2.274939*eV   11822.675000*m
2.279121*eV   11738.025000*m
2.283319*eV   11653.375000*m
2.287531*eV   11568.725000*m
2.291760*eV   11484.075000*m
2.296004*eV   11399.425000*m
2.300263*eV   11314.775000*m
2.304539*eV   11230.125000*m
2.308831*eV   11145.475000*m
2.313138*eV   11060.825000*m
2.317462*eV   10978.480000*m
2.321801*eV   10898.440000*m
2.326158*eV   10818.400000*m
2.330530*eV   10738.360000*m
2.334919*eV   10658.320000*m
2.339324*eV   10578.280000*m
2.343747*eV   10498.240000*m
2.348186*eV   10418.200000*m
2.352641*eV   10338.160000*m
2.357114*eV   10258.120000*m
2.361604*eV   10180.302000*m
2.366111*eV   10104.706000*m
2.370635*eV   10029.110000*m
2.375176*eV   9953.514000*m
2.379735*eV   9877.918000*m
2.384312*eV   9802.322000*m
2.388906*eV   9726.726000*m
2.393517*eV   9651.130000*m
2.398147*eV   9575.534000*m
2.402795*eV   9499.938000*m
2.407460*eV   9426.478500*m
2.412144*eV   9355.155500*m
2.416846*eV   9283.832500*m
2.421566*eV   9212.509500*m
2.426305*eV   9141.186500*m
2.431063*eV   9069.863500*m
2.435839*eV   8998.540500*m
2.440634*eV   8927.217500*m
2.445448*eV   8855.894500*m
2.450281*eV   8784.571500*m
2.455133*eV   8715.303500*m
2.460004*eV   8648.090500*m
2.464895*eV   8580.877500*m
2.469805*eV   8513.664500*m
2.474734*eV   8446.451500*m
2.479684*eV   8379.238500*m
2.484653*eV   8312.025500*m
2.489643*eV   8244.812500*m
2.494652*eV   8177.599500*m
2.499681*eV   8110.386500*m
2.504731*eV   8045.147500*m
2.509802*eV   7981.882500*m
2.514892*eV   7918.617500*m
2.520004*eV   7855.352500*m
2.525136*eV   7792.087500*m
2.530290*eV   7728.822500*m
2.535464*eV   7665.557500*m
2.540660*eV   7602.292500*m
2.545877*eV   7539.027500*m
2.551115*eV   7475.762500*m
2.556375*eV   7414.394000*m
2.561657*eV   7354.922000*m
2.566961*eV   7295.450000*m
2.572286*eV   7235.978000*m
2.577634*eV   7176.506000*m
2.583004*eV   7117.034000*m
2.588397*eV   7057.562000*m
2.593812*eV   6998.090000*m
2.599249*eV   6938.618000*m
2.604710*eV   6879.146000*m
2.610194*eV   6821.491500*m
2.615700*eV   6765.654500*m
2.621230*eV   6709.817500*m
2.626784*eV   6653.980500*m
2.632361*eV   6598.143500*m
2.637962*eV   6542.306500*m
2.643586*eV   6486.469500*m
2.649235*eV   6430.632500*m
2.654908*eV   6374.795500*m
2.660605*eV   6318.958500*m
2.666327*eV   6264.864500*m
2.672073*eV   6212.513500*m
2.677844*eV   6160.162500*m
2.683641*eV   6107.811500*m
2.689462*eV   6055.460500*m
2.695309*eV   6003.109500*m
2.701181*eV   5950.758500*m
2.707079*eV   5898.407500*m
2.713002*eV   5846.056500*m
2.718952*eV   5793.705500*m
2.724927*eV   5743.023000*m
2.730929*eV   5694.009000*m
2.736958*eV   5644.995000*m
2.743013*eV   5595.981000*m
2.749095*eV   5546.967000*m
2.755204*eV   5497.953000*m
2.761341*eV   5448.939000*m
2.767504*eV   5399.925000*m
2.773696*eV   5350.911000*m
2.779915*eV   5301.897000*m
2.786162*eV   5254.479500*m
2.792437*eV   5208.658500*m
2.798740*eV   5162.837500*m
2.805072*eV   5117.016500*m
2.811433*eV   5071.195500*m
2.817823*eV   5025.374500*m
2.824241*eV   4979.553500*m
2.830689*eV   4933.732500*m
2.837167*eV   4887.911500*m
2.843674*eV   4842.090500*m
2.850211*eV   4797.794500*m
2.856779*eV   4755.023500*m
2.863376*eV   4712.252500*m
2.870005*eV   4669.481500*m
2.876664*eV   4626.710500*m
2.883353*eV   4583.939500*m
2.890075*eV   4541.168500*m
2.896827*eV   4498.397500*m
2.903611*eV   4455.626500*m
2.910427*eV   4412.855500*m
2.917275*eV   4371.540500*m
2.924156*eV   4331.681500*m
2.931069*eV   4291.822500*m
2.938014*eV   4251.963500*m
2.944993*eV   4212.104500*m
2.952005*eV   4172.245500*m
2.959050*eV   4132.386500*m
2.966129*eV   4092.527500*m
2.973242*eV   4052.668500*m
2.980389*eV   4012.809500*m
2.987571*eV   3974.338500*m
2.994787*eV   3937.255500*m
3.002039*eV   3900.172500*m
3.009325*eV   3863.089500*m
3.016647*eV   3826.006500*m
3.024005*eV   3788.923500*m
3.031398*eV   3751.840500*m
3.038828*eV   3714.757500*m
3.046295*eV   3677.674500*m
3.053798*eV   3640.591500*m
3.061338*eV   3604.831500*m
3.068916*eV   3570.394500*m
3.076531*eV   3535.957500*m
3.084184*eV   3501.520500*m
3.091875*eV   3467.083500*m
3.099605*eV   3432.646500*m
3.107373*eV   3398.209500*m
3.115181*eV   3363.772500*m
3.123028*eV   3329.335500*m
3.130914*eV   3294.898500*m
3.138840*eV   3261.719000*m
3.146807*eV   3229.797000*m
3.154814*eV   3197.875000*m
3.162862*eV   3165.953000*m
3.170951*eV   3134.031000*m
3.179082*eV   3102.109000*m
3.187254*eV   3070.187000*m
3.195469*eV   3038.265000*m
3.203726*eV   3006.343000*m
3.212026*eV   2974.421000*m
3.220369*eV   2943.694500*m
3.228755*eV   2914.163500*m
3.237185*eV   2884.632500*m
3.245660*eV   2855.101500*m
3.254178*eV   2825.570500*m
3.262742*eV   2796.039500*m
3.271351*eV   2766.508500*m
3.280005*eV   2736.977500*m
3.288706*eV   2707.446500*m
3.297452*eV   2677.915500*m
3.306245*eV   2649.518000*m
3.315086*eV   2622.254000*m
3.323973*eV   2594.990000*m
3.332909*eV   2567.726000*m
3.341892*eV   2540.462000*m
3.350924*eV   2513.198000*m
3.360005*eV   2485.934000*m
3.369136*eV   2458.670000*m
3.378316*eV   2431.406000*m
3.387546*eV   2404.142000*m
3.396827*eV   2377.952500*m
3.406159*eV   2352.837500*m
3.415543*eV   2327.722500*m
3.424978*eV   2302.607500*m
3.434465*eV   2277.492500*m
3.444006*eV   2252.377500*m
3.453599*eV   2227.262500*m
3.463246*eV   2202.147500*m
