Wavelength (nm),Rayleigh Length (m)
701.0,32355.71853703353
702.0,32540.746173350533
703.0,32726.56625287531
704.0,32913.18103503754
705.0,33100.59278248361
706.0,33288.8037610766
707.0,33477.816239896274
708.0,33667.632491239114
709.0,33858.25479061828
710.0,34049.68541676364
711.0,34241.92665162176
712.0,34434.980780355916
713.0,34628.85009134606
714.0,34823.53687618886
715.0,35019.0434296977
716.0,35215.37204990262
717.0,35412.52503805041
718.0,35610.50469860454
719.0,35809.3133392452
720.0,36008.95327086926
721.0,36209.426807590295
722.0,36410.736266738626
723.0,36612.883968861235
724.0,36815.87223772184
725.0,37019.70340030083
726.0,37224.37978679535
727.0,37429.90373061922
728.0,37636.27756840296
729.0,37843.50363999385
730.0,38051.58428845583
731.0,38260.52186006956
732.0,38470.318704332436
733.0,38680.97717395854
734.0,38892.49962487868
735.0,39104.88841624036
736.0,39318.14591040783
737.0,39532.274472962024
738.0,39747.2764727006
739.0,39963.15428163793
740.0,40179.91027500511
741.0,40397.54683124994
742.0,40616.066332036964
743.0,40835.4711622474
744.0,41055.76370997922
745.0,41276.9463665471
746.0,41499.02152648243
747.0,41721.99158753334
748.0,41945.85895066467
749.0,42170.62602005796
750.0,42396.29520311151
751.0,42622.868910440324
752.0,42850.34955587612
753.0,43078.73955646734
754.0,43308.04133247918
755.0,43538.25730739351
756.0,43769.38990790898
757.0,44001.44156394092
758.0,44234.41470862141
759.0,44468.31177829925
760.0,44703.13521253997
761.0,44938.88745412583
762.0,45175.5709490558
763.0,45413.18814654562
764.0,45651.7414990277
765.0,45891.23346215125
766.0,46131.66649478215
767.0,46373.04305900304
768.0,46615.365620113276
769.0,46858.63664662898
770.0,47102.858610282965
771.0,47348.033986024806
772.0,47594.1652520208
773.0,47841.254889653974
774.0,48089.305383524115
775.0,48338.31922144772
776.0,48588.298894458014
777.0,48839.24689680499
778.0,49091.16572595536
779.0,49344.05788259257
780.0,49597.925870616826
781.0,49852.772197145045
782.0,50108.59937251089
783.0,50365.40991026479
784.0,50623.20632717388
785.0,50881.991143222054
786.0,51141.76688160995
787.0,51402.536068754926
788.0,51664.30123429112
789.0,51927.06491106938
790.0,52190.829635157315
791.0,52455.59794583926
792.0,52721.37238561633
793.0,52988.155500206354
794.0,53255.949838543915
795.0,53524.75795278034
796.0,53794.58239828372
797.0,54065.42573363887
798.0,54337.29052064736
799.0,54610.179324327524
800.0,54884.094712914426
801.0,55159.03925785989
802.0,55435.01553383249
803.0,55712.02611871755
804.0,55990.073593617126
805.0,56269.16054285006
806.0,56549.28955395192
807.0,56830.46321767505
808.0,57112.68412798851
809.0,57395.95488207817
810.0,57680.278080346594
811.0,57965.65632641313
812.0,58252.092227113906
813.0,58539.588392501755
814.0,58828.1474358463
815.0,59117.77197363391
816.0,59408.46462556772
817.0,59700.22801456762
818.0,59993.06476677025
819.0,60286.97751152902
820.0,60581.968881414075
821.0,60878.041512212374
822.0,61175.19804292758
823.0,61473.44111578015
824.0,61772.77337620728
825.0,62073.19747286296
826.0,62374.71605761791
827.0,62677.331785559625
828.0,62981.04731499237
829.0,63285.86530743718
830.0,63591.78842763183
831.0,63898.81934353089
832.0,64206.960726305675
833.0,64516.21525034426
834.0,64826.58559325152
835.0,65138.07443584906
836.0,65450.684462175275
837.0,65764.41835948534
838.0,66079.27881825114
839.0,66395.26853216143
840.0,66712.39019812162
841.0,67030.64651625398
842.0,67350.04018989751
843.0,67670.57392560798
844.0,67992.25043315795
845.0,68315.07242553675
846.0,68639.04261895047
847.0,68964.16373282198
848.0,69290.43848979092
849.0,69617.8696157137
850.0,69946.45983966354
851.0,70276.21189393038
852.0,70607.12851402098
853.0,70939.21243865887
854.0,71272.46640978432
855.0,71606.89317255444
856.0,71942.49547534305
857.0,72279.27606974081
858.0,72617.23771055511
859.0,72956.38315581017
860.0,73296.71516674692
861.0,73638.23650782314
862.0,73980.94994671334
863.0,74324.85825430886
864.0,74669.96420471776
865.0,75016.27057526495
866.0,75363.78014649209
867.0,75712.4957021576
868.0,76062.42002923673
869.0,76413.55591792148
870.0,76765.90616162065
871.0,77119.4735569598
872.0,77474.26090378135
873.0,77830.2710051444
874.0,78187.50666732494
875.0,78545.97069981566
876.0,78905.66591532608
877.0,79266.59512978254
878.0,79628.76116232808
879.0,79992.16683532264
880.0,80356.81497434285
881.0,80722.70840818218
882.0,81089.84996885089
883.0,81458.24249157605
884.0,81827.88881480144
885.0,82198.79178018773
886.0,82570.95423261233
887.0,82944.37902016946
888.0,83319.06899417013
889.0,83695.02700914211
890.0,84072.25592283004
891.0,84450.75859619529
892.0,84830.53789341604
893.0,85211.59668188728
894.0,85593.9378322208
895.0,85977.56421824517
896.0,86362.47871700575
897.0,86748.68420876474
898.0,87136.18357700107
899.0,87524.97970841054
900.0,87915.0754929057
901.0,88306.47382361595
902.0,88699.17759688741
903.0,89093.1897122831
904.0,89488.51307258276
905.0,89885.15058378296
906.0,90283.10515509709
907.0,90682.3796989553
908.0,91082.97713100459
909.0,91484.90037010873
910.0,91888.15233834833
911.0,92292.73596102078
912.0,92698.65416664025
913.0,93105.90988693775
914.0,93514.50605686111
915.0,93924.44561457491
916.0,94335.73150146061
917.0,94748.36666211643
918.0,95162.35404435736
919.0,95577.6965992153
920.0,95994.39728093888
921.0,96412.45904699355
922.0,96831.88485806162
923.0,97252.67767804214
924.0,97674.84047405099
925.0,98098.3762164209
926.0,98523.28787870139
927.0,98949.57843765878
928.0,99377.25087327619
929.0,99806.30816875357
930.0,100236.75331050772
931.0,100668.58928817221
932.0,101101.81909459739
933.0,101536.44572585053
934.0,101972.4721812156
935.0,102409.90146319348
936.0,102848.7365775018
937.0,103288.98053307504
938.0,103730.63634206446
939.0,104173.70701983823
940.0,104618.1955849812
941.0,105064.10505929515
942.0,105511.43846779862
943.0,105960.19883872702
944.0,106410.38920353254
945.0,106862.01259688417
946.0,107315.07205666778
947.0,107769.570623986
948.0,108225.51134315836
949.0,108682.89726172113
950.0,109141.73143042743
951.0,109602.01690324723
952.0,110063.7567373673
953.0,110526.9539931912
954.0,110991.6117343394
955.0,111457.73302764911
956.0,111925.32094317443
957.0,112394.37855418623
958.0,112864.90893717224
959.0,113336.915171837
960.0,113810.4003411019
961.0,114285.36753110512
962.0,114761.8198312017
963.0,115239.7603339635
964.0,115719.19213517921
965.0,116200.11833385433
966.0,116682.54203221122
967.0,117166.46633568905
968.0,117651.89435294381
969.0,118138.82919584835
970.0,118627.27397949233
971.0,119117.23182218225
972.0,119608.70584544144
973.0,120101.69917401006
974.0,120596.21493584511
975.0,121092.25626212043
976.0,121589.82628722668
977.0,122088.92814877133
